1,39.037,14.680,-0.059,
2,34.496,12.822,-0.006,
3,31.284,11.125,-0.085,
4,26.814,9.300,-0.112,
5,23.428,7.949,-0.106,
6,19.147,6.409,-0.106,
7,16.197,5.372,-0.102,
8,11.613,3.884,-0.099,
9,8.037,2.764,-0.076,
10,4.984,2.246,-0.174,
11,5.004,2.333,-0.164,
12,5.021,2.346,-0.173,
13,4.980,2.393,-0.176,
14,1.905,0.867,-0.028,
15,-1.560,-0.678,0.010,
16,-6.082,-2.498,0.030,
17,-9.747,-3.809,0.061,
18,-14.163,-5.788,0.056,
19,-17.629,-7.255,0.079,
20,-22.095,-9.099,0.039,
21,-25.255,-10.361,0.034,
22,-29.754,-12.253,-0.008,
23,-33.047,-13.913,-0.037,
24,-36.616,-15.454,0.002,
25,-39.980,-16.874,-0.033,
26,-43.859,-19.051,-0.001,
27,-46.543,-20.957,-0.012,
28,-50.131,-22.430,-0.072,
29,-52.449,-22.954,-0.083,
30,-56.479,-23.692,0.007,
31,-59.362,-24.392,0.022,
32,-64.017,-25.910,-0.016,
33,-67.128,-27.017,-0.001,
34,-71.530,-28.389,0.017,
35,-74.345,-29.465,-0.035,
36,-78.841,-31.102,0.073,
37,-81.586,-32.146,0.070,
38,-85.076,-34.095,0.062,
39,-86.428,-34.995,-0.063,
40,-86.384,-35.178,-0.052,
41,-86.431,-35.149,-0.059,
42,-86.834,-35.332,-0.005,
43,-87.027,-35.324,-0.085,
44,-87.084,-35.199,-0.067,
45,-87.099,-35.216,-0.071,
46,-87.076,-35.223,-0.072,
47,-87.071,-35.183,-0.076,
48,-87.122,-35.254,-0.072,
49,-87.217,-35.168,-0.072,
50,-87.508,-35.346,-0.070,
51,-87.457,-35.339,-0.073,
52,-87.502,-35.323,-0.067,
53,-88.880,-37.085,0.104,
54,-91.001,-41.910,0.189,
55,-91.399,-45.124,0.246,
56,-91.217,-49.918,0.206,
57,-90.873,-53.325,0.147,
58,-90.174,-57.910,0.147,
59,-89.685,-61.005,0.150,
60,-89.691,-64.121,0.126,
61,-89.480,-65.565,0.161,
62,-87.276,-67.689,0.180,
63,-77.334,-85.096,-0.030,
64,-75.380,-86.832,0.028,
65,-74.206,-89.234,-0.199,
66,-74.121,-89.529,-0.183,
67,-74.056,-89.625,-0.189,
68,-74.073,-89.595,-0.189,
69,-73.431,-89.785,-0.113,
70,-70.429,-89.643,-0.111,
71,-65.610,-89.233,-0.159,
72,-61.686,-88.601,-0.162,
73,-57.038,-87.019,-0.161,
74,-53.291,-85.803,-0.175,
75,-48.632,-84.258,-0.172,
76,-45.397,-82.990,-0.197,
77,-40.562,-81.221,-0.169,
78,-37.502,-80.101,-0.189,
79,-33.607,-78.449,-0.187,
80,-33.105,-78.280,-0.232,
81,-32.978,-78.274,-0.237,
82,-30.771,-77.531,-0.116,
83,-25.733,-75.419,-0.143,
84,-22.127,-73.896,-0.173,
85,-16.495,-71.676,-0.214,
86,-12.873,-70.322,-0.243,
87,-7.756,-68.347,-0.254,
88,-4.443,-66.890,-0.224,
89,0.380,-65.039,-0.159,
90,3.568,-63.729,-0.151,
91,8.525,-61.880,-0.142,
92,11.732,-60.566,-0.143,
93,16.596,-58.603,-0.171,
94,19.860,-57.266,-0.177,
95,25.016,-55.351,-0.189,
96,28.362,-54.154,-0.191,
97,33.260,-52.210,-0.219,
98,36.582,-50.956,-0.212,
99,41.343,-49.114,-0.195,
100,44.419,-47.826,-0.195,
101,48.826,-46.300,-0.221,
102,51.884,-45.102,-0.183,
103,53.080,-44.632,-0.243,
104,53.065,-44.557,-0.232,
105,53.174,-44.525,-0.235,
106,55.812,-43.954,-0.140,
107,60.317,-42.163,-0.104,
108,63.859,-40.923,-0.164,
109,68.252,-39.362,-0.166,
110,71.312,-38.092,-0.129,
111,75.320,-36.520,-0.150,
112,78.748,-35.360,-0.163,
113,83.212,-34.050,-0.125,
114,86.746,-32.880,-0.191,
115,90.874,-31.464,-0.179,
116,93.808,-30.248,-0.183,
117,97.731,-28.255,-0.110,
118,100.883,-26.740,-0.188,
119,105.304,-25.031,-0.220,
120,108.749,-23.710,-0.218,
121,113.079,-22.029,-0.243,
122,116.495,-20.595,-0.204,
123,120.630,-18.482,-0.188,
124,123.175,-16.827,-0.153,
125,125.979,-13.932,-0.148,
126,126.327,-11.650,-0.227,
127,126.446,-11.570,-0.234,
128,126.516,-11.573,-0.228,
129,126.497,-11.018,-0.169,
130,125.493,-8.099,-0.128,
131,123.864,-4.302,-0.120,
132,122.983,-1.301,-0.135,
133,120.563,2.123,-0.077,
134,118.440,4.644,-0.063,
135,116.516,8.271,-0.133,
136,115.203,11.211,-0.122,
137,113.454,15.079,-0.208,
138,112.337,18.159,-0.207,
139,110.410,22.176,-0.202,
140,109.249,25.351,-0.189,
141,107.770,29.425,-0.220,
142,106.536,32.494,-0.236,
143,103.737,39.454,-0.352,
144,103.683,39.451,-0.352,
145,103.078,39.774,-0.245,
146,99.350,39.346,-0.240,
147,96.168,38.238,-0.231,
148,91.822,36.771,-0.243,
149,88.445,35.444,-0.216,
150,84.633,33.744,-0.172,
151,81.804,32.008,-0.091,
152,77.897,29.915,-0.240,
153,75.166,28.867,-0.226,
154,71.588,27.429,-0.224,
155,68.128,26.252,-0.193,
156,61.960,23.554,-0.203,
157,59.311,22.136,-0.137,
158,58.042,21.962,-0.232,
159,57.958,21.973,-0.223,
160,57.901,22.150,-0.227,
161,57.761,22.123,-0.226,
162,53.257,20.182,-0.168,
163,48.062,18.416,-0.081,
164,45.022,17.198,-0.109,
165,40.659,15.321,-0.070,
166,37.487,14.059,-0.072,
167,32.592,11.822,-0.072,
168,29.305,10.230,-0.107,
2,-3.552,-1.427,-0.010,
3,-8.048,-3.205,0.048,
4,-11.585,-4.749,0.071,
5,-16.106,-6.525,0.078,
6,-19.527,-8.019,0.059,
7,-24.029,-9.840,0.052,
8,-27.544,-11.237,0.015,
9,-31.866,-13.269,-0.002,
10,-34.611,-14.721,0.030,
11,-38.486,-16.150,-0.025,
12,-41.716,-17.756,-0.067,
13,-45.243,-20.198,-0.014,
14,-48.272,-21.685,-0.022,
15,-51.410,-22.815,-0.109,
